TYPE,PARAM 1,PARAM 2,PARAM 3,PARAM 4
TITLE,ONDAS DO BRANDING,"<strong>A SUA ORGANIZAÇÃO CONSTRÓI VALOR NAS ONDAS DO BRANDING?</strong>Com o framework das Ondas do Branding, alinhamos as estratégias de Marca, Negócio e Comunicação nas Ondas para identificar onde estamos construindo valor e onde estamos desperdiçando. Assim, temos os insumos para trabalhar desafios específicos que potencializam a geração de valor em todas as frentes e fazer uma avaliação contínua. Com o seu ponto de vista, responda aos itens a seguir, dando uma nota de 1 a 5, e descubra como se a sua organização está construindo ou desperdiçando valor e quais os pontos de atenção.",,
ZONE,1,MARCA,,
ZONE,2,NEGÓCIO,,
ZONE,3,COMUNICAÇÃO,,
ZONE-POINTS,1,1.67,Ruim,
ZONE-POINTS,1.67,3.33,Médio,
ZONE-POINTS,3.33,5,Bom,
WAVE,1,1,HARD<br/> SELL,Marque os valores abaixo onde 1 é a menor nota e 5 a maior.
WAVE,2,2,PAPEL NA<br/> MINHA VIDA,
WAVE,3,3,VISÃO<br/> DE MUNDO,
WAVE-POINTS,1,1.67,Ruim,
WAVE-POINTS,1.67,3.33,Médio,
WAVE-POINTS,3.33,5,Bom,
QUESTION,1,1,AWARENESS,É FÁCIL DE RECONHECER?
QUESTION,2,1,LUCRO,SEU PRODUTO/SERVIÇO CUMPRE SUA PROMESSA?
QUESTION,3,1,VENDER,TEM UMA PROPOSTA DE VALOR EFICAZ?
QUESTION,1,2,RELEVÂNCIA,TEM SIGNIFICADO?
QUESTION,2,2,CRIAR VALOR,SEU PRODUTO/SERVIÇO CUMPRE SUA PROMESSA?
QUESTION,3,2,CONEXÕES EMOCIONAIS,TEM UMA NARRATIVA ATRAENTE?
QUESTION,1,3,PROPÓSITO,É GUIADA POR UM PROPÓSITO?
QUESTION,2,3,ECOSSISTEMA DE VALOR,SEU ECOSSISTEMA ESTÁ SEMPRE EM EVOLUÇÃO?
QUESTION,3,3,ENGAJAR,INSPIRA MUDANÇA E AÇÃO?
RESULTS-ZONE,Bom,Bom,Bom,"A sua pontuação mostra um bom alinhamento nas estratégias de Marca, Negócio e Comunicação. * Um passo importante, que constrói valor quando surfa bem as ondas do Branding também."
RESULTS-ZONE,Bom,Bom,Médio,Marca e Negócio estão bem. * Mas vale rever a estratégia de comunicação para potencializar ainda mais a narrativa e trazer relevância para as pessoas.
RESULTS-ZONE,Bom,Bom,Ruim,"É provável que você tenha um serviço de alto valor para o cliente, mas que desperdiça potencial de crescimento. * Que narrativa você vai criar para engajar as pessoas?"
RESULTS-ZONE,Bom,Médio,Bom,Marca e Comunicação estão bem. * Mas será que você está atento à equação custo-benefício e às oportunidades de fidelizar o seu usuário?
RESULTS-ZONE,Bom,Médio,Médio,"Marca vai além do logo e dos seus atributos visuais. * Não adianta ter uma boa construção visual e verbal, mas ter as estratégias de Negócio e Comunicação sem força. Isso desperdiça valor."
RESULTS-ZONE,Bom,Médio,Ruim,"Boa construção de Marca, mas a sua visão de negócios precisa ir além da média do mercado, oferecendo um bom produto ou serviço, e construindo boas relações com o seu público. * Vale rever a estratégia de comunicação e desenvolver narrativas que criem conexões emocionais e engagem o público para construir mais valor."
RESULTS-ZONE,Bom,Ruim,Bom,"Quando Marca e Comunicação vão bem * Mas a estratégia de Negócio não está forte, você tem uma promessa que não se materializa na prática."
RESULTS-ZONE,Bom,Ruim,Médio,Sua Marca é reconhecida pelas pessoas e atua com propósito. * A sua narrativa de Comunicação precisa engajar mais e é importante rever a estratégia de Negócio para garantir que a promessa traga valor para a organização.
RESULTS-ZONE,Bom,Ruim,Ruim,"Só a sua Marca está bem construída. * A construção de valor acontece quando Marca está bem alinhada com Negócio e Comunicação, da narrativa ao produto e serviço oferecido, do engajamento à criação de um ecossistema de impacto."
RESULTS-ZONE,Médio,Bom,Bom,"Há uma boa estratégia de Negócio e Comunicação, com narrativa diferenciada, engajadora, e boa percepção de custo-benefício e fidelização. * Mas vale investir na construção da Marca para sair da média do mercado. Para pensar: se tirar o seu logo das peças de comunicação, será que o público reconheceria que é a sua Marca?"
RESULTS-ZONE,Médio,Bom,Médio,"Só a estratégia de Negócio bem resolvida não é suficiente para construir valor. * Reveja a sua estratégia de Marca e Comunicação para criar uma Marca diferenciada e relevante para as pessoas, e uma narrativa que engaja e crie conexões emocionais."
RESULTS-ZONE,Médio,Bom,Ruim,"Há um desequilíbrio no alinhamento entre Marca, Negócio e Comunicação. * Só a estratégia de Negócio está dando conta do recado e você desperdiça valor quando a Marca não é relevante nem diferenciada o sufuciente, e a Comunicação não engaja nem se conecta com as pessoas."
RESULTS-ZONE,Médio,Médio,Bom,"É importante olhar para o alinhamento entre Marca, Negócio e Comunicação com o mesmo peso. * Nenhum pilar é mais importante que o outro. A sua comunicação engaja e cria conexões emocionais, mas a Marca pode ser mais relevante e reconhecível e o Negócio ter mais potencial para fidelizar e deixar clara a equação entre custo e benefício."
RESULTS-ZONE,Médio,Médio,Médio,"Você está em um bom caminho, mas ainda há uma estrada para percorrer. * O primeiro passo, de alinhar Marca, Negócio e Comunicação, já aconteceu. Agora é o momento de potencializar ainda mais os seus pilares, trazendo diferenciação, fidelizando e criando conexões emocionais com os seus públicos, fazendo parte de verdade da vida das pessoas e elevando a régua do mercado."
RESULTS-ZONE,Médio,Médio,Ruim,"Sinal amarelo na construção de valor. * Você está em um caminho positivo com Marca e Negócio, precisando melhorar o reconhecimento, relevância e experiência do usuário. Porém, precisa criar uma boa história para engajar os seus públicos e criar conexões emocionais."
RESULTS-ZONE,Médio,Ruim,Bom,"A sua Comunicação engaja e faz o vínculo emocional com a audiência, mas a sua Marca precisa se destacar mais no mercado, trazendo diferenciação e relevância, e o seu negócio precisa dar passos mais rápidos para alcançar os outros pilares. * Pense se o seu produto ou serviço tem uma equação positiva no custo-benefício, se fideliza o usuário e se tem potencial para criar um ecossistema de impacto."
RESULTS-ZONE,Médio,Ruim,Médio,"Marca e Comunicação parecem estar num bom caminho, mas ainda podem melhorar. * Nesses pilares, é importante considerar a diferenciação, relevância e propósito da sua Marca; comunicar a proposta de valor e engajar o público criando conexões emocionais. O ponto de atenção maior vai para o Negócio. Atenção à experiência (ou a falta dela) que precisa fidelizar, trazer impactado para o ecossistema e garantir a qualidade do produto ou serviço."
RESULTS-ZONE,Médio,Ruim,Ruim,"Há muito desperdício de valor. A sua Comunicação não engaja, nem cria vínculos emocionais e o seu Negócio não fideliza, nem dá clareza da relação custo-benefício. * A sua Marca está em um bom caminho, mas ainda precisa construir mais relevância para as pessoas. O caminho da construção de valor é longo, mas vale a pena. Repense a sua estratégia e mãos à obra."
RESULTS-ZONE,Ruim,Bom,Bom,"Quando a estratégia de Marca é fraca na construção de valor, mas os pilares Negócio e Comunição estão dando conta do recado, você não constrói valor no longo prazo e precisa de um investimento constante em atração e aquisição. * Hora de fechar essa torneira e entender como melhorar essa estratégia."
RESULTS-ZONE,Ruim,Bom,Médio,"O seu alinhamento entre Marca, Negócio e Comunicação está em desequilíbrio e,  quando isso acontece, há desperdício de valor. * O seu negócio tem potencial para fidelizar e impactar o ecossistema. Mas sua Marca não traz relevância para a vida das pessoas e a sua Comunicação precisa de mais força para engajar e se conectar emocionalmente com os públicos de interesse. Reveja as suas prioridades e encontre o equilíbrio para que um pilar fortaleça o outro e, assim, você construa mais valor."
RESULTS-ZONE,Ruim,Bom,Ruim,"Parece que só a sua estratégia de Negócio está dando conta do recado, mas assim como uma pessoa não vive só para respirar, uma organização não pode dar atenção só para o resultado financeiro, mesmo que a experiência seja percebida como boa para o usuário. * O ponto é que, para construir valor de verdade, você vai precisar recalibrar - ou até mesmo recriar - a sua estratégia de Marca e Comunicação. Pergunte-se: como posso, com o meu propósito, fazer parte da vida das pessoas e trazer relevância para elas? Que história eu vou contar para engajar o meu público e me conectar emocionalmente com ele?"
RESULTS-ZONE,Ruim,Médio,Bom,"Há um desalinhamento entre Marca, Negócio e Comunicação. * A história que a sua Marca conta tem potencial de engajar, mas ela precisa ser mais relevante para as pessoas e ser diferenciada no mercado. O negócio está em um bom caminho, mas precisa ir além da visão de lucro para checar se a experiência está fidelizando e se há um ecossistema sendo criado ao redor da sua oferta."
RESULTS-ZONE,Ruim,Médio,Médio,"Sinal amarelo. Ainda há um longo caminho a percorrer, mas com estratégia e foco, dá para chegar lá. * Os pilares de Negócio e Comunicação estão em uma trajetória positiva, mas precisam  ganhar mais tração. Não deixe a Marca de lado. Além de criar uma experiência que fideliza e uma comunicação que engaja, é preciso ser uma Marca reconhecida, relevante para as pessoas e com um propósito que impacta positivamente o mundo."
RESULTS-ZONE,Ruim,Médio,Ruim,"O seu Negócio está em um bom caminho, mas precisa ganhar mais tração. * Atenção especial à estratégia de Marca e Comunicação. Não adianta ter um produto ótimo, com potencial de fidelização, se ele se a sua Marca se apropria ou repete dos códigos padronizados do mercado. E também não adianta ter a oferta, sem entender como comunicá-la e engajar as pessoas. Então, hora de recalibrar a estratégia para ver como gerar mais valor alinhando Marca, Negócio e Comunicação."
RESULTS-ZONE,Ruim,Ruim,Bom,"Há um investimento alto em Comunicação, com o potencial de criar narrativas engajadoras, mas é importante prestar atenção na sua oferta e na experiência que você traz para o usuário. * Um ponto relevante também é colocar foco na construção de Marca, que vai muito além do logo. Que estratégias você vai usar para se diferenciar, ser reconhecível e e engajar as pessoas a partir do propósito?"
RESULTS-ZONE,Ruim,Ruim,Médio,"A sua Comunicação precisa de um gás para engajar as pessoas e se conectar emocionalmente com elas. * Mas o ponto de atenção mesmo é em relação à Marca e ao Negócio. Marcas fortes são diferenciadas no mercado, reconhecíveis, relevantes e têm um propósito orientando todas as suas ações. O Negócio, por sua vez, precisa deixar claro o benefício em relação à oferta,  fidelizar o cliente e trazer impacto para o ecossistema, elevando também a régua do mercado. Você está pronto para fazer a diferença na vida das pessoas?"
RESULTS-ZONE,Ruim,Ruim,Ruim,"Sinal vermelho. Hora de parar e repensar a sua rota. Há muito valor sendo desperdiçado nos pilares de Marca, Negócio e Comunicação. * Volte algumas casas, mas não desista. Olhe o todo, estabeleça a sua visão de futuro e ajuste os ponteiros das estratégias para construir valor, sendo relevante para as pessoas, sustentável no negócio e engajadora na comunicação. O caminho é longo, mas as recompensas valem a pena."
RESULTS-WAVE,Bom,Bom,Bom,"Você está surfando bem as ondas do Branding. Produto, Pessoas e Propósito indo na mesma direção. * Mas lembre-se de que não há um ponto de chegada. O jogo não acaba e a atenção deve ser constante."
RESULTS-WAVE,Bom,Bom,Médio,"As suas respostas mostram um bom desempenho nas ondas Produto e Pessoas, mas tem que prestar mais atenção à terceira onda, Propósito. * Pense como você pode potencializar o propósito da sua Marca, evoluir o ecossistema do Negócio e engajar as pessoas na Comunicação."
RESULTS-WAVE,Bom,Bom,Ruim,"Não basta surfar bem as ondas um e dois, Produto e Pessoas, respectivamente. Recalibre a sua estratégia para surfar bem as três ondas. * Na onda três, Propósito, o que vale é descer a sua visão de mundo, ter impacto positivo no ecossistema e engajar as pessoas, inspirando mudança e ação pelo propósito."
RESULTS-WAVE,Bom,Médio,Bom,"Produto e Propósito estão bem cobertos nas ondas do Branding, mas lembre-se de que é tudo sobre e para Pessoas, a segunda onda. * Surfe ela também sendo relevante e trazendo valor para as pessoas, com conexão emocional."
RESULTS-WAVE,Bom,Médio,Médio,"Pelas suas resposta, a sua Marca é fácil de reconhecer, seu produto ou serviço cumpre a promessa e a proposta de valor é eficaz. * Mas é preciso ir além colocar mais empenho nas ondas Pesssoas e Propósito, a segunda e a terceira onda, respectivamente."
RESULTS-WAVE,Bom,Médio,Ruim,"A sua estratégia está desequilibrada. Enquanto a onda um, Produto, está forte, a onda dois, Pessoas, está precisando de mais potência. * O que vale aqui é trazer relevância, valor e conexões emocionais. Atenção especial à terceira onda, Propósito. Nela, você vai dar mais clareza à sua visão de mundo, criar meios de impactar positivamente o ecossistema e engajar as pessoas em uma narrativa única e diferenciada. Pronto para evoluir?"
RESULTS-WAVE,Bom,Ruim,Bom,"O seu foco atual está nas ondas um e três, Produto e Propósito. Mas falta um elemento fundamental aí: Pessoas, a segunda onda. * Pergunta-se se a sua Marta tem significado, se a sua experiência tem potencial para fidelizar e se a narrativa que você conta é atraente o suficiente para, realmente, inspirar mudança e ação. Ao recalibrar isso, as outras ondas ficarão ainda mais forte e você construirá mais valor."
RESULTS-WAVE,Bom,Ruim,Médio,"Você está surfando as ondas, mas há um desequilíbrio. * Ainda que a sua oferta tenha valor, ele precisa ser percebido pelas Pessoas, a segunda onda e, na terceira, Propósito, é importante dar mais clareza para a sua visão de mundo, impactar positivamente o ecossistema e engajar."
RESULTS-WAVE,Bom,Ruim,Ruim,"É mais comum do que você pensar colocar todos os esforços no Produto e esquecer das outras ondas. * Lembre-se que todas são importantes. Na onda Pessoas, a pergunta é: como você pode fazer mais parte da vida do público, criando experiências que fidelizam e uma narrativa envolvente? Na onda três, Propósito, o caminho é materializar a sua visão de mundo, impactar positivamente o ecossistema e inspirar a ação."
RESULTS-WAVE,Médio,Bom,Bom,"Você está em um bom caminho, mas é preciso dar mais atenção à onda Produto. * Propósito e foco nas Pessoas não sustenta uma estratégia que não traduz a promessa na oferta. Repense a sua relação de custo-benefício, a proposta de valor e o awareness da sua Marca. Ninguém quer ser mais um na multidão, né? Diferenciação e qualidade são palavras-chave aqui."
RESULTS-WAVE,Médio,Bom,Médio,"Há uma boa equação de valor aqui, mas para dar o próximo passo é fundamental colocar mais força nas ondas um e três, Produto e Propósito, respectivamemente. * Alinhe a sua Marca à visão de mundo que você constrói, o seu produto ao impacto no ecossistema e a proposta de valor ao potencial de engajamento."
RESULTS-WAVE,Médio,Bom,Ruim,"Há um desequilíbrio na sua estratégia. * Enquanto você surfa bem a onda dois, Pessoas, precisa dar uma atenção maior à onda um, Produto, para tirar o máximo potencial dela e ajustar consideravelmente os drivers de valor da onda três, Propósito. Cheque se você tem uma visão de mundo que engaja as pessoas em uma narrativa, com potencial de impactar positivamente o ecossistema."
RESULTS-WAVE,Médio,Médio,Bom,"Quase lá. Você dá foco na onda três, Propósito, mas lembre-se que as ondas um e dois, Produto e Pessoas, são igualmente importantes. * Propósito sozinho não constrói valor. Veja se relação custo-benefício, awareness e proposta de valor estão bem alinhadas com a sua visão e se a sua experiência fideliza, se a marca é relevante e se história que você conta cria conexões emocionais com as pessoas."
RESULTS-WAVE,Médio,Médio,Médio,"Você está em um bom caminho, mas precisa crescer e potencializar a sua estratégia nas ondas do Branding. * A chave para construir valor é fazer uma gestão constante e trazer mais força para o seu Produto, para a conexão que você estabelece com as Pessoas e fazer com o que o seu Propósito tenha mais impacto. A jornada é longa e não tem fim. Pronto para construir mais valor?"
RESULTS-WAVE,Médio,Médio,Ruim,"As ondas Produto e Pessoas estão no caminho para serem ainda mais fortes, mas não se esqueça do Propósito. Mais que uma frase de impacto, um Propósito relevante traduz a sua visão de mundo, inspira mudança e evolui o ecossistema. Coloque mais ênfase na onda três e continue a trabalhar as outras ondas. Surfe todas simultanemanete e veja a sua construção de valor crescer."
RESULTS-WAVE,Médio,Ruim,Bom,"O foco está total no Propósito, o que é ótimo, mas a grande questão é como colocar mais energia nas ondas de Produto e Pessoas. * Um Propósito só é realmente relevante quando ele se materializa na sua oferta e quando se conecta com as pessoas. Crie uma história envolvente, traga relevância para a Marca e atente-se à relação de custo-benefício da sua oferta."
RESULTS-WAVE,Médio,Ruim,Médio,"Quando você não surfa bem as ondas, desperdiça valor. O foco está no Produto e no Propósito, mas você está se esquecendo das Pessoas. * Reveja a sua estratégia para dar mais clareza à sua oferta, mais força ao seu Propósito e dê mais atenção à relevância que você quer ter na vida das Pessoas. Aí sim o jogo vai começar a virar."
RESULTS-WAVE,Médio,Ruim,Ruim,"Você corre perigo de se tornar irrelevante - e ninguém quer isso, né? * Dá para colocar mais potência na onda um e usar essa força para trazer mais relevância para as Pessoas e colocar o seu Propósito à serviço das suas estratégias de Marca, Negócio e Comunicação."
RESULTS-WAVE,Ruim,Bom,Bom,"A sua estratégia está desequilibrada. Tem muito valor em surfar bem as ondas dois e três, Pessoas e Propósito, respectivamente. * Mas as conexões emocionais que a sua história constrói e a visão de mundo precisam estar materializadas no produto ou serviço que você oferece. Tem desperdício acontecendo aqui. Dê mais atenção à onda um, Produto, para recalibrar a sua geração de valor."
RESULTS-WAVE,Ruim,Bom,Médio,"Bom saber que você está com foco nas Pessoas. Criar conexões emocionais, ser relevante e criar experiências com potencial de fidelizar é um passo importante na construção de valor. * Mas é fundamental também olhar para o Produto, cuja onda está fraca e colocar mais potência na onda Propósito, alinhando visão de mundo ao awareness, impacto no ecossistema à oferta, e engajamento à proposta de valor."
RESULTS-WAVE,Ruim,Bom,Ruim,"Tem valor sendo desperdiçado quando não surfamos bem as ondas do Branding. Aqui, a onda Pessoas aparece com bastante força, mas é preciso dar atenção também para as ondas de Produto e Propósito. * O desafio aqui é reajustar a estratégia sem deixar a onda dois, Pessoas, perder força já conquistada."
RESULTS-WAVE,Ruim,Médio,Bom,"É comum colocar o foco no Propósito e esquecer das outras duas ondas: Produto e Pessoas. * Na onda Produto, você precisa colocar mais força na sua proposta de valor, na relação custo-benefício e no awareness da sua Marca. Na onda Pessoas, não há um grande problema, mas precisa evoluir além da média, trazendo relevância, boas experiências e uma narrativa envolvente."
RESULTS-WAVE,Ruim,Médio,Médio,"Você está surfando as ondas dois e três, Pessoas e Propósito, mas precisa colocar mais força no trabalho. Volte sua atenção para a onda um, Produto. * Não se esqueça de que não adianta ter um Propósito com alto potencial de engajamento e uma experiência relevante para as pessoas se a sua oferta não cumpre a promessa. É desperdício de valor na certa."
RESULTS-WAVE,Ruim,Médio,Ruim,"Há bastante valor sendo desperdiçado aqui. * Na onda dois, Pessoas, recalibre a sua estratégia para dar mais potência para ela e, nas ondas um e três, Produto e Propósito, respectivamente, reveja a estratégia para alinhar Marca, Negócio e Comunicação a partir das premissas que definem cada onda."
RESULTS-WAVE,Ruim,Ruim,Bom,"A sua atenção está totalmente voltada para o Propósito, mas é bem provável que a sua visão de mundo não esteja se materializando na sua oferta, nem sendo clara para as Pessoas. * Hora de rever a estratégia para construir mais valor. Que tipo de relação você quer com o seu público e como deixar mais clara proposta de valor do seu Produto? São perguntas-chave para você virar o jogo da construção de valor."
RESULTS-WAVE,Ruim,Ruim,Médio,"Há bastante trabalho a ser feito, mas não desanime. Reveja sua estratégia para surfar melhor as ondas um e dois, Produto e Pessoas, e dê uma atenção também para a onda três, Propósito. * É importante surfar bem as três ondas, alinhando Marca, Negócio e Comunicação para construir valor de verdade para a sua organização, para as pessoas e para o mundo."
RESULTS-WAVE,Ruim,Ruim,Ruim,"Tem muito valor sendo desperdiçado aqui. Criar uma estratégia para surfar as ondas é um passo importante para crescer e dar tração para a sua Marca, Negócio e Comunicação. * O foco tem que ser simultâneo na sua oferta, no seu público e no ecossistema. Repense como você vai surfar as ondas de Produto, Pessoas e Propósito e mãos à obra."